strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
13.0,-8.791873843707847,0.0,-8.791873843707847,0,1,1,0.91992267578125,corn,332.82315054427204
14.0,-159.0774147756684,145.06515141419993,-304.1425661898683,18,27,45,0.656578955078125,corn,361.2537535367371
15.0,1772.0423754788692,4746.533546343639,-2974.4911708647696,339,297,636,0.44840964914608,corn,389.90077300736226
16.0,6431.087660590747,8551.589153318857,-2120.50149272811,477,120,597,0.42668125516176214,corn,418.75124599251126
17.0,57360.63081321515,68314.08514891575,-10953.45433570059,2739,516,3255,0.3525800836655497,corn,447.7937523482107
18.0,125101.94825413264,161775.7737519969,-36673.82549786425,3713,788,4501,0.246466739452907,corn,477.01815060132844
19.0,71975.40615992543,384143.8095859943,-312168.4034260688,4647,3915,8562,0.1950790503323078,corn,506.4153712861505
20.0,1975121.2663141717,2065697.743064734,-90576.47675056226,21043,973,22016,0.20021154816448686,corn,535.9772528682472
21.0,631065.8978051138,641303.7616116756,-10237.863806561732,8933,150,9083,0.215999076038599,corn,565.6964097756011
22.0,656044.1901898964,658484.4191595886,-2440.2289696921894,14077,68,14145,0.32677845248858134,corn,595.5661250153889
23.0,261761.5492695995,264754.08994663536,-2992.540677035916,8508,90,8598,0.39717793756178443,corn,625.5802618807054
24.0,115359.89909376462,115359.89909376462,0.0,4886,0,4886,0.29215605320135746,corn,655.7331906668576
25.0,421332.7997596393,421356.93722742633,-24.137467787037245,22329,1,22330,0.30078745973289017,corn,686.0197273235825
26.0,16698.667991563118,16698.667991563118,0.0,961,0,961,0.42700768310546877,corn,716.4350816973333
27.0,38840.58062164505,38840.58062164505,0.0,2482,0,2482,0.43457596679687505,corn,746.9748135517344
28.0,52400.800622961244,52400.800622961244,0.0,5084,0,5084,0.5039112109375,corn,777.63479495136
