strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
23.0,4669.590460145329,4669.590460145329,0.0,610,0,610,0.5664105859375,copper,4.054848318080294
24.0,1908.829394447868,2128.2320674769167,-219.40267302904857,224,32,256,0.5185595019531251,copper,4.213593071772764
25.0,2946.7916056614695,3791.1256428895595,-844.33403722809,352,65,417,0.9768103735351562,copper,4.371692863199974
26.0,-1691.8970695692847,1015.5532614136619,-2707.4503309829465,72,189,261,0.5430082139003277,copper,4.5291759709282635
27.0,-4579.178016576175,676.4737276931119,-5255.651744269287,40,320,360,0.5607717797684669,copper,4.686068394567431
28.0,-1405.3294066976937,1643.1172891446945,-3048.446695842388,79,203,282,0.7919959118652343,copper,4.842394116007289
29.0,2468.718259155074,2746.259519117045,-277.541259961971,127,12,139,0.6163298772795995,copper,4.998175322447461
30.0,11524.4175306348,18319.768949931582,-6795.35141929678,987,348,1335,0.5436372100389004,copper,5.153432597933676
31.0,15502.188045160008,18562.945387399443,-3060.7573422394344,695,111,806,0.5708279450070858,copper,5.30818508874959
32.0,-29809.458898510424,6486.37622224973,-36295.83512076015,197,1121,1318,0.5097186762702466,copper,5.46245064696131
33.0,92961.93522054475,115289.54827207608,-22327.61305153133,2958,558,3516,0.46632652434110644,copper,5.6162459555932385
34.0,5820.604457991171,10825.03190102278,-5004.427443031607,234,101,335,0.4949583415138722,copper,5.769586638271247
35.0,75344.32233964084,84641.06364564621,-9296.741306005359,1444,172,1616,0.3515473394960165,copper,5.922487355660813
36.0,22580.87697509912,140715.84934991016,-118134.97237481104,2030,1662,3692,0.28155137023329735,copper,6.074961890622328
37.0,-24489.133681551364,75970.83063558111,-100459.96431713246,891,998,1889,0.2721477873921394,copper,6.227023223680409
38.0,49436.99476615623,109998.26542894395,-60561.27066278772,1037,449,1486,0.26383355954289434,copper,6.3786836001409135
39.0,98399.9556204303,194038.90267004428,-95638.94704961398,1381,854,2235,0.25853963991999623,copper,6.529954589975513
40.0,582962.6862643888,781109.4287857029,-198146.74252131395,5771,998,6769,0.2504485868215561,copper,6.6808471414186075
41.0,126500.92211930107,192563.515058946,-66062.59293964494,1003,608,1611,0.26788333207368853,copper,6.831371629077456
42.0,397517.37421648664,407748.55660671025,-10231.18239022365,2315,72,2387,0.2761226220726966,copper,6.981537897237301
43.0,291262.75562831765,291358.78636127734,-96.03073295972712,2027,1,2028,0.28032768330971397,copper,7.131355298944363
44.0,40501.90069240738,41193.350853394266,-691.4501609868857,374,7,381,0.31376377016305923,copper,7.280832731366943
45.0,443197.35429749504,453763.6663474772,-10566.31204998216,5190,127,5317,0.33698169130086897,copper,7.429978667865597
46.0,2231.9405433828238,2306.448541864601,-74.50799848177707,29,1,30,0.30346853119134903,copper,7.57880118714495
47.0,2489.457527294827,2489.457527294827,0.0,35,0,35,0.3006581383347511,copper,7.727307999810399
48.0,832.6484586224826,832.6484586224826,0.0,13,0,13,0.3143495666384697,copper,7.875506472610993
49.0,924.8691117171462,924.8691117171462,0.0,16,0,16,0.30476705664396286,copper,8.023403650614085
50.0,556913.7021317771,558066.0909492455,-1152.388817468367,10742,22,10764,0.3989968400033315,copper,8.1710062775268
55.0,163948.36409281503,163948.36409281503,0.0,5097,0,5097,0.5440387174117565,copper,8.904818310360179
