strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
23.0,7296.013380278728,7296.013380278728,0.0,610,0,610,0.9086923193359374,copper,4.073242998103543
24.0,2089.9386249661225,2305.328525213399,-215.38990024727664,224,32,256,0.5595747167968751,copper,4.231567994002002
25.0,3215.555682832713,4041.764825243641,-826.2091424109282,349,65,414,0.8595414794921874,copper,4.389208145856648
26.0,-1718.1989906654044,940.1129303467159,-2658.3119210121204,72,189,261,0.5551802294921876,copper,4.546193650161002
27.0,-44396.33151445289,279.3483380376406,-44675.679852490524,40,2717,2757,0.7024382229812941,copper,4.70255226284441
28.0,-2744.3397142126782,442.8263769244367,-3187.166091137115,67,203,270,0.5352990404566129,copper,4.858309579571937
29.0,438.2451159703762,687.733675762502,-249.48855979212576,127,11,138,0.4019672586917877,copper,5.013489274990826
30.0,9462.75546405697,17735.670272378222,-8272.914808321253,977,347,1324,0.5811738873797655,copper,5.168113308145139
31.0,15541.019681282542,16730.75022076463,-1189.7305394820871,658,49,707,0.3501403606534005,copper,5.322202099811237
32.0,-26418.515162610584,5976.13632944252,-32394.651492053104,189,1127,1316,0.5720313962590694,copper,5.475774686374564
33.0,92638.14169915536,112924.28938231211,-20286.14768315676,2918,544,3462,0.456437024304072,copper,5.628848853987125
34.0,6726.782893016003,9664.95822677215,-2938.175333756148,223,64,287,0.4655850515286127,copper,5.781441256053729
35.0,52259.52701986225,62156.96045823159,-9897.433438369331,1408,174,1582,0.35970464675843716,copper,5.933567516548067
36.0,-5622.981082656392,113559.08418962602,-119182.06527228242,2023,1752,3775,0.27656849902570246,copper,6.085242321223746
37.0,-123192.01696905747,70361.32787028118,-193553.34483933865,869,2113,2982,0.3196789439320564,copper,6.236479498435393
38.0,-4203.304779910413,102719.1992068566,-106922.50398676703,1026,840,1866,0.25836538086334865,copper,6.387292091002148
39.0,14750.28620655887,195985.02338530912,-181234.73717875025,1342,1279,2621,0.24977655967473983,copper,6.537692420315937
40.0,400174.1060879419,862051.4107820992,-461877.3046941572,5639,2143,7782,0.24730328285694117,copper,6.687692143708769
41.0,-39242.48060031318,261882.9726414967,-301125.45324180985,1136,1593,2729,0.2578180216948191,copper,6.837302305938669
42.0,535839.9065221122,565643.881866165,-29803.97534405274,2633,162,2795,0.26141295276085535,copper,6.986533385525913
43.0,356021.82169379975,356131.7599278773,-109.93823407752974,2128,1,2129,0.27192908209562305,copper,7.135395336564972
44.0,65555.59009185307,67030.52418718631,-1474.934095333241,540,13,553,0.28741961473226546,copper,7.28389762654883
45.0,479936.8123462228,492212.0003143041,-12275.187968081282,5290,138,5428,0.309073703610897,copper,7.432049270667962
46.0,3640.383033546985,3721.6101002849855,-81.22706673800023,43,1,44,0.31813245715300237,copper,7.579858862983516
47.0,9243.59745316142,9243.59745316142,0.0,120,0,120,0.3494865544998646,copper,7.727334604821368
48.0,1022.9010463405656,1022.9010463405656,0.0,15,0,15,0.3243207419955731,copper,7.87448433068861
50.0,582864.4657713232,584078.8420619104,-1214.3762905872784,10813,22,10835,0.37389408684094744,copper,8.16783537867515
55.0,162665.53825766657,162665.53825766657,0.0,5078,0,5078,0.5156375898492338,copper,8.895995128116096
