strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
22.0,679.5033438561845,679.5033438561845,0.0,83,0,83,0.6049248799681662,copper,3.9015146083918864
23.0,6978.307031772025,6978.307031772025,0.0,610,0,610,0.6836123043894767,copper,4.06056471914467
24.0,2017.7135542742549,2229.961112610058,-212.24755833580312,225,30,255,0.47643442610383036,copper,4.218916931715834
25.0,-843.2068450738486,31.14691409368398,-874.3537591675325,3,65,68,0.7471333180673918,copper,4.376603216921096
26.0,-1945.0512122974012,1244.259297181619,-3189.3105094790203,72,189,261,0.6407654070341586,copper,4.533652861835635
27.0,-5308.166007240977,775.046279172399,-6083.212286413375,40,320,360,0.690199438094298,copper,4.690092789598025
28.0,-37094.121833906764,1418.680966547565,-38512.80280045432,80,2932,3012,0.7317865148222445,copper,4.84594783067082
29.0,2830.8536029987263,3120.9600437687636,-290.1064407700373,127,12,139,0.5701545466216406,copper,5.001240954397595
30.0,14731.552449339695,23783.57273719142,-9052.020287851727,987,349,1336,0.5118941443858147,copper,5.155993467836933
31.0,18595.774839238573,22110.564411307612,-3514.789572069043,695,110,805,0.47471671908974644,copper,5.310225187434685
32.0,-4220.122165142138,6871.737512038369,-11091.859677180506,192,326,518,0.36825873035013673,copper,5.463954588001598
33.0,106835.75568796169,131131.2603863892,-24295.504698427525,3004,558,3562,0.4050323750610351,copper,5.617198932612087
34.0,7775.04298231774,14345.615964576915,-6570.572982259175,275,123,398,0.3842139463286399,copper,5.769974386371637
35.0,69861.43477699332,83318.1628670253,-13456.728090031973,1344,201,1545,0.39556063402334846,copper,5.922296116471681
36.0,3316.3553772302985,146235.25240632254,-142918.89702909224,1998,1899,3897,0.29479202924172077,copper,6.074178380529302
37.0,50509.8356222664,85544.50864480285,-35034.673022536444,986,332,1318,0.27928461199998855,copper,6.225634604870775
38.0,183836.98086262867,344598.11025283986,-160761.1293902112,2144,890,3034,0.2604004723827044,copper,6.37667745414453
39.0,18906.92001691107,236486.8565707534,-217579.93655384233,2219,1261,3480,0.26033243735631306,copper,6.527318893426758
40.0,734906.7903779306,1046408.42257498,-311501.63219704945,7126,1456,8582,0.25931240856647486,copper,6.677570243801003
41.0,102665.16928290298,168760.6426420702,-66095.47335916723,886,643,1529,0.27728905032078416,copper,6.827442232243459
42.0,461655.65976110357,466305.122077022,-4649.462315918348,3186,44,3230,0.27457033093770344,copper,6.976945036522038
43.0,482818.8297719215,486345.21966065414,-3526.3898887326304,4407,39,4446,0.2953546242833137,copper,7.126088325714377
44.0,120136.60794173571,120136.60794173571,0.0,1273,0,1273,0.35203296514034266,copper,7.2748812968642635
45.0,416258.19946537045,432498.4182332589,-16240.218767888377,5816,213,6029,0.34904098081787427,copper,7.423332708223813
46.0,2036.499713349873,2036.499713349873,0.0,29,0,29,0.43229061593413354,copper,7.571450909468259
47.0,8720.106489418918,8720.106489418918,0.0,140,0,140,0.485414206110239,copper,7.719243869218833
48.0,1054.1531502234666,1271.5502344247002,-217.3970842012337,23,4,27,0.63979455316782,copper,7.866719200165718
49.0,842.2531901294134,842.2531901294134,0.0,16,0,16,0.30764598113298425,copper,8.013884182045986
50.0,502759.71839462843,503862.1213789582,-1102.4029843297853,10502,24,10526,0.5049404214205742,copper,8.160745782699673
55.0,147684.64593216,147684.64593216,0.0,5010,0,5010,0.5031899660146237,copper,8.890727419623834
