strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
15.0,930.4381247941369,1169.5463712500955,-239.10824645595847,155,32,187,1.5675494197591149,wheat,390.74393034723414
16.0,1660.9238372976508,1714.2795454517186,-53.355708154067884,355,6,361,1.8122933018893002,wheat,419.6558089091633
17.0,785.9281043803824,1164.2770806763665,-378.34897629598436,107,37,144,1.9601176358094214,wheat,448.7600634851321
18.0,-1052.2942895038273,895.2874080396625,-1947.58169754349,151,155,306,0.7860145741528273,wheat,478.0465341049004
19.0,1441.210952162106,2497.9840117129424,-1056.7730595508363,165,68,233,1.3336215979003907,wheat,507.5061347803799
20.0,25003.36478546587,27270.25750436608,-2266.8927189002093,1871,151,2022,0.9766821025710106,wheat,537.1306891253558
21.0,27803.639951082387,45069.04937391536,-17265.409422832974,2313,856,3169,0.6989498231635094,wheat,566.9127981422569
22.0,49059.85384313854,107811.2561435538,-58751.402300415255,3631,3208,6839,0.6551776526800791,wheat,596.8457326403096
23.0,234161.20399264523,265119.3389240429,-30958.134931397624,6708,857,7565,0.555783675485452,wheat,626.9233447791087
24.0,196539.14743754367,248471.1774567408,-51932.03001919715,4815,1056,5871,0.4398904525132974,wheat,657.1399946496205
25.0,1086806.5040743963,1289650.9196266641,-202844.41555226778,18825,3012,21837,0.36411956767082215,wheat,687.490488813248
26.0,719739.0085422589,818341.9331641289,-98602.92462187006,6806,877,7683,0.30009522546529765,wheat,717.9700284487345
27.0,929865.8864160923,1035532.4870923902,-105666.6006762979,8731,649,9380,0.34380664732058835,wheat,748.5741652916374
28.0,587719.7777858307,623226.105948759,-35506.3281629284,7319,455,7774,0.4312812949407101,wheat,779.2987639488989
29.0,169592.30818503848,174791.38802915707,-5199.079844118553,3306,81,3387,0.5472475856761139,wheat,810.1399694705017
30.0,1983496.6758993822,1988179.81884498,-4683.142945598006,40539,99,40638,0.4483860976028442,wheat,841.0941792882116
31.0,188422.70469090051,188460.81704960368,-38.11235870315094,4688,1,4689,0.5264482363218069,wheat,872.1580188068282
32.0,15264.444889410479,15296.524062894347,-32.07917348386786,421,1,422,0.6013199940037728,wheat,903.3283200696602
33.0,59700.46762704593,59700.46762704593,0.0,1817,0,1817,1.124073851083517,wheat,934.602103026764
34.0,8165.904585335078,8165.904585335078,0.0,300,0,300,1.207019045051336,wheat,965.9765590189284
35.0,954594.1936523878,954594.1936523878,0.0,38362,0,38362,0.3654378128647804,wheat,997.4490361576648
