strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
12.0,56.48638541874436,56.48638541874436,0.0,9,0,9,1.8720735961914061,corn,306.8923973289188
13.0,24.585042054613357,32.9440262214113,-8.35898416679794,4,1,5,1.4137385823567705,corn,334.8895711131393
14.0,-122.94316543297244,163.47118435821466,-286.4143497911871,19,27,46,1.057620408935547,corn,363.08297662773685
15.0,1283.3260713366749,4651.343594163577,-3368.0175228269027,341,302,643,0.6531297656249999,corn,391.4598046987381
16.0,121.26311261606588,9473.13905348309,-9351.875940867023,535,550,1085,0.534335759030819,corn,420.00888551183306
17.0,54527.42146390532,66381.94102642393,-11854.519562518604,3100,548,3648,0.4046229247590474,corn,448.7203887901437
18.0,125308.7893653413,158884.09641775582,-33575.30705241451,4502,920,5422,0.3047981109728132,corn,477.5855933386692
19.0,195121.12759386527,332667.4976849028,-137546.37009103756,5589,2443,8032,0.20391999695748092,corn,506.596706917306
20.0,1992622.0497914103,2026644.2904852917,-34022.240693881264,23114,469,23583,0.2199458784991503,corn,535.746723363693
21.0,615437.4471748046,720953.8967834503,-105516.44960864555,9037,1041,10078,0.2501366934031248,corn,565.0293077742136
22.0,697276.58082158,698031.9494406834,-755.3686191033928,12589,17,12606,0.3365111974100272,corn,594.4387031519784
23.0,402303.90769844776,402375.950811935,-72.04311348724084,10003,2,10005,0.3410423367443085,corn,623.9696537098805
24.0,128021.98205030967,128051.78736155193,-29.80531124225667,4727,1,4728,0.4684121208292246,corn,653.6173412588482
25.0,431645.83571182506,431694.85006620846,-49.014354383398306,20551,2,20553,0.5121247102880476,corn,683.3773319941989
26.0,15838.990306556207,15920.820514298264,-81.83020774205835,905,4,909,0.6551659366810322,corn,713.2455316307047
27.0,14681.09551956438,14681.09551956438,0.0,816,0,816,0.43403299675107004,corn,743.2181473045431
28.0,73076.57440510634,73076.57440510634,0.0,5089,0,5089,0.46680220703125,corn,773.2916550077315
