strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
15.0,863.6693192796165,868.2415719412913,-4.57225266167483,153,2,155,1.2612331848144531,wheat,392.8777169271133
16.0,1991.8046580267023,2046.3743006807726,-54.56964265407033,349,6,355,1.3401734261067706,wheat,421.69683727084697
17.0,724.1402296260258,1073.227907901583,-349.08767827555727,107,37,144,1.3006855517578124,wheat,450.69101805460525
18.0,-613.3676030949398,1185.4837544418335,-1798.8513575367733,151,155,306,0.6204552824527025,wheat,479.850921113687
19.0,1569.0955120858976,2549.9266569696933,-980.8311448837958,175,68,243,0.9595983923339844,wheat,509.1681999364402
20.0,22992.227238101932,25607.248534077382,-2615.0212959754526,1879,151,2030,0.6119414505112172,wheat,538.6353474398455
21.0,28889.650940002575,42487.374576715454,-13597.723636712883,2321,856,3177,0.5713641108455658,wheat,568.2455735967523
22.0,33126.293249840324,94467.4997598425,-61341.20651000218,3660,3206,6866,0.48626096059322355,wheat,597.9927059099629
23.0,194652.13869963068,220472.09728605582,-25819.95858642517,6933,848,7781,0.435313218259414,wheat,627.8711076176048
24.0,167813.8244418896,210036.707830682,-42222.88338879239,5005,1001,6006,0.3446839299591382,wheat,657.8756098334563
25.0,931884.8461978738,1086104.8356385194,-154219.98944064562,19426,2840,22266,0.3053797691663106,wheat,688.0014547638165
26.0,317782.0645909166,529187.2234889744,-211405.15889805777,6410,1784,8194,0.3134168411890665,wheat,718.2442478202697
27.0,492952.37116071855,614245.8415653252,-121293.47040460653,6234,808,7042,0.30988716415564216,wheat,748.599916944733
28.0,481208.0921680134,532575.6379079197,-51367.54573990633,5815,574,6389,0.3321050200661023,wheat,779.0646778326304
29.0,214343.64186806325,221867.05870473737,-7523.416836674113,2817,81,2898,0.3546903644402821,wheat,809.6350040180598
30.0,2308252.672811106,2313705.3220815873,-5452.649270481268,41051,102,41153,0.3482488875985145,wheat,840.3076009964221
31.0,230963.98806032148,231018.1656955345,-54.17763521303762,4594,1,4595,0.3971781317847967,wheat,871.0793837227416
32.0,17982.831019995014,18012.95971498543,-30.128694990415553,424,1,425,0.4825966361665725,wheat,901.9474569502856
33.0,65424.842681099224,65424.842681099224,0.0,1690,0,1690,0.347464051425457,wheat,932.9090979731488
34.0,6923.4921965389185,6923.4921965389185,0.0,201,0,201,0.34707729464769366,wheat,963.9617414147224
35.0,1164875.044652807,1164875.044652807,0.0,38119,0,38119,0.3703810293078422,wheat,995.102965766304
