strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
15.0,96.52227733239016,325.6355315194536,-229.11325418706343,153,32,185,1.5620428933149577,wheat,388.6963077288919
16.0,143.02426904763763,193.8556081148002,-50.83133906716259,346,6,352,1.5345726118842762,wheat,417.69217796730885
17.0,768.6091340386226,1123.4465259939097,-354.8373919552872,107,37,144,1.17080344140625,wheat,446.89693832533686
18.0,15.98779472556771,1844.1347573719718,-1828.146962646404,151,155,306,0.8652385974121094,wheat,476.29966169764856
19.0,873.4062909459395,1869.403183339504,-995.9968923935645,175,68,243,0.9186020524364709,wheat,505.89057100599194
20.0,16508.694142181517,18595.92820630051,-2087.234064118994,1874,151,2025,0.5786753178620339,wheat,535.6608636699701
21.0,10966.75839852401,25539.331528979725,-14572.573130455714,2318,856,3174,0.7240609231128693,wheat,565.6025703572103
22.0,34968.18378732349,90025.63418487251,-55057.45039754902,3640,3208,6848,0.491575668121179,wheat,595.7084399950098
23.0,192665.55773024404,221172.66625905188,-28507.108528807843,6871,857,7728,0.5028429867430528,wheat,625.971845182382
24.0,171208.08652913125,219169.7615343654,-47961.675005234116,4905,1042,5947,0.3791148020815849,wheat,656.3867036489289
25.0,972650.2129124259,1139315.886032616,-166665.6731201901,18965,2912,21877,0.33258155791918437,wheat,686.9474124797124
26.0,326014.7175324945,583614.0475195386,-257599.32998704404,6370,2168,8538,0.3277725464959939,wheat,717.6487926011383
27.0,667681.6638541572,752868.4612233206,-85186.79736916345,7066,584,7650,0.32679352058966954,wheat,748.4860415923049
28.0,518889.50902883394,560852.20511819,-41962.69608935604,6096,485,6581,0.3567998475432395,wheat,779.4546933098599
29.0,215884.11947895342,223157.65360424313,-7273.534125289712,2990,81,3071,0.37286415878931684,wheat,810.5505831334094
30.0,2287895.4255299517,2292663.904843753,-4768.479313801443,40824,92,40916,0.40765449909965196,wheat,841.7698178815033
31.0,225352.08297264308,225403.31777012994,-51.23479748684133,4624,1,4625,0.4401129800373316,wheat,873.1087496352066
32.0,17577.586752107316,17608.16148372062,-30.574731613304376,432,1,433,0.525207016659975,wheat,904.5639528516042
33.0,66727.48185987213,66727.48185987213,0.0,1805,0,1805,0.5720534077918529,wheat,936.1322042635271
34.0,9475.59145246623,9475.59145246623,0.0,302,0,302,0.6796085442125797,wheat,967.8104651518879
35.0,1124801.200477333,1124801.200477333,0.0,38194,0,38194,0.37209551197290414,wheat,999.5958656488156
