strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
16.0,217.24565381318266,237.52287466945265,-20.277220856269995,345,3,348,1.1673565286103884,wheat,420.5443482679676
17.0,648.760555050857,975.7242932320945,-326.9637381812375,107,36,143,1.1665445881171226,wheat,449.72042824980963
18.0,-678.6628891509582,1014.6852769192535,-1693.3481660702118,154,155,309,0.7774798129075764,wheat,479.0798205829986
19.0,156.79486871585414,2439.2451663738484,-2282.4502976579943,178,170,348,0.9088174621582031,wheat,508.6133883446345
20.0,22816.87382246864,24910.139519802884,-2093.2656973342473,1995,151,2146,0.5322836974291801,wheat,538.3129091411707
21.0,25393.752283247784,38671.664227951194,-13277.911944703406,2338,856,3194,0.5776224030232429,wheat,568.1709421948809
22.0,35878.39679676628,82139.88554220184,-46261.48874543556,3812,3206,7018,0.4690792343703906,wheat,598.1807201900247
23.0,183967.64479045,207306.48847423447,-23338.84368378448,7042,846,7888,0.47211370770215993,wheat,628.3360603444344
24.0,174558.0525354099,209315.92549768946,-34757.87296227959,5559,960,6519,0.3364421399811903,wheat,658.6312905974455
25.0,929054.4444878296,1065590.635944638,-136536.19145680842,21645,2838,24483,0.31814572246869405,wheat,689.0611878188511
26.0,426060.8287176423,481560.48180668964,-55499.65308904734,6698,717,7415,0.3208064877808094,wheat,719.6209256764427
27.0,636697.6838103338,652836.9445637885,-16139.26075345461,6895,158,7053,0.32942682373523713,wheat,750.3060303374122
28.0,481281.6713894376,511711.15856380994,-30429.487174372378,5394,356,5750,0.3405752318700155,wheat,781.1123425787246
29.0,173976.97738906287,180039.86607684812,-6062.888687785267,1917,62,1979,0.36221543564399084,wheat,812.0359851825899
30.0,2615336.222727655,2618168.74611832,-2832.5233906650233,42712,53,42765,0.3936532791455587,wheat,843.0733347223544
31.0,264921.87570267025,264979.9950756447,-58.11937297444832,4623,1,4624,0.3882324766814709,wheat,874.2209970204686
32.0,19013.20021443826,19041.767196773588,-28.566982335326163,400,1,401,0.493833280377388,wheat,905.4757856971845
33.0,11427.591750722264,11427.591750722264,0.0,265,0,265,0.3443831076025963,wheat,936.8347033360295
34.0,6110.093695010173,6110.093695010173,0.0,156,0,156,0.3400435654520989,wheat,968.294924876981
35.0,1370393.3754687584,1370393.3754687584,0.0,39434,0,39434,0.36016802829504013,wheat,999.8537829158971
