strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
86.0,-8646.893293715766,1373.2992956377307,-10020.192589353497,36,1323,1359,1.0295439929199217,crude,55.01205622972809
87.0,-1688.6297340035705,303.2630746767868,-1991.8928086803573,292,160,452,0.6866762642860413,crude,55.66166593697057
88.0,-2212.8742434406918,3041.666904457745,-5254.541147898437,189,294,483,0.8520973201620579,crude,56.31139094360543
89.0,-11048.02400393782,131.72446164347144,-11179.748465581291,82,947,1029,0.6618548996341229,crude,56.961229959473
90.0,-301933.8298987324,13176.457254995528,-315110.28715372796,822,19751,20573,1.3601389126576318,crude,57.61118172318649
91.0,-3347.8921928693258,164.607628858704,-3512.49982172803,68,207,275,0.6745500851809979,crude,58.26124500117762
92.0,-11000.231071051374,152.5747424719938,-11152.805813523368,10,436,446,0.8037129003906249,crude,58.911418586784166
93.0,-25230.501120709738,209.1971710823974,-25439.698291792134,11,1415,1426,0.7599556276381016,crude,59.56170129937693
94.0,-3137.117542533807,12.833798734175742,-3149.9513412679826,3,165,168,0.6545307541263103,crude,60.212091983524125
95.0,-403254.9022557765,43385.08939320339,-446639.9916489799,1110,24601,25711,1.1990272079647912,crude,60.862589508191235
96.0,-26195.082289374714,1313.5124705205194,-27508.594759895233,101,1890,1991,0.6523472265625001,crude,61.51319276597445
97.0,-10789.650416402295,898.202411934165,-11687.852828336461,125,554,679,0.6330723112225533,crude,62.16390067236585
98.0,-24696.56712902407,6458.498082084256,-31155.06521110833,310,1232,1542,0.6987334814453126,crude,62.81471216504883
99.0,5335.320547655645,16039.922591571676,-10704.602043916031,758,434,1192,0.676920041501522,crude,63.46562620322219
100.0,-929342.4288157203,127383.6337328115,-1056726.0625485317,7757,54762,62519,0.8792756408343713,crude,64.11664176695137
101.0,-155841.5237512179,4406.427612112073,-160247.95136332998,101,8472,8573,1.1471332456600665,crude,64.76775785654569
102.0,-83427.52373890967,3273.338107435299,-86700.86184634497,89,2855,2944,1.2269791737046243,crude,65.41897349195986
103.0,-14743.296043745486,7958.5484640842915,-22701.844507829777,166,477,643,1.2312505666633446,crude,66.07028771221927
104.0,-17454.665560884394,5694.607580961083,-23149.273141845475,107,581,688,1.2274087834115823,crude,66.72169957486723
105.0,-176826.32128215238,100067.65625503905,-276893.9775371914,2471,10100,12571,0.8373664522578717,crude,67.37320815543343
106.0,-224370.56242881293,4516.490038486394,-228887.05246729933,119,6293,6412,1.0542565134708086,crude,68.02481254692272
107.0,15023.230339105836,31681.14669398646,-16657.916354880625,585,1022,1607,0.8733123640779654,crude,68.67651185932287
108.0,-17725.16373767682,25570.570583382916,-43295.73432105973,460,1085,1545,0.9943546940531729,crude,69.32830521913098
109.0,-56821.24188549134,12019.72137612786,-68840.9632616192,211,3254,3465,0.9694848273189862,crude,69.98019176889706
110.0,-672505.7807465955,185279.81181704765,-857785.5925636431,4654,22817,27471,0.758588101714717,crude,70.63217066678442
111.0,-70405.63222457272,14324.103042952524,-84729.73526752525,199,1691,1890,0.9609012535981337,crude,71.28424108614611
112.0,-30670.307684331987,11480.66342639384,-42150.971110725826,175,4603,4778,0.8527182144850493,crude,71.93640221511629
112.5,10323.025488585992,11196.98930460071,-873.9638160147173,135,28,163,0.9407139618241789,crude,72.262516545941
113.0,-13375.989019665132,32339.64013900821,-45715.62915867334,497,1727,2224,0.8715256532010436,crude,72.58865325621642
113.5,-5163.433917879912,90.42016533459876,-5253.854083214511,1,177,178,0.93945666015625,crude,72.91481224844338
114.0,-70008.07954999468,46478.54380609979,-116486.62335609447,890,3132,4022,0.7631466026656628,crude,73.24099342597515
114.5,-7775.352453021406,0.0,-7775.352453021406,0,259,259,0.6835969140625001,crude,73.5671966930063
115.0,-270952.7680206133,313502.5250390783,-584455.2930596916,5431,17797,23228,0.7229926964436878,crude,73.89342195456162
115.5,-2120.0917353358395,390.73864158728577,-2510.830376923125,4,85,89,0.8883095819091797,crude,74.21966911648552
116.0,-127044.57384244425,84871.11866639287,-211915.69250883712,908,3117,4025,0.7556271210251915,crude,74.54593808543132
116.5,-2753.7872040441243,508.06568462320774,-3261.852888667332,5,75,80,0.8967396745932104,crude,74.87222876885086
117.0,-83557.36588121783,21895.303881826363,-105452.66976304419,272,2159,2431,0.6936787218666076,crude,75.1985410749843
117.5,-1402.1380228930932,213.03768795202342,-1615.1757108451166,2,50,52,0.8503459924316408,crude,75.52487491285007
118.0,-54789.90803812649,54858.43448527761,-109648.34252340409,622,3679,4301,0.7218362934188842,crude,75.8512301922349
119.0,-200082.65455893087,79983.91039919938,-280066.56495813024,937,3167,4104,0.7273204838512495,crude,76.5040047184926
120.0,-1744377.0412886175,311470.4879574743,-2055847.5292460918,5385,26075,31460,0.6593559340411425,crude,77.15686394705372
121.0,-53366.70428093773,20586.979131562493,-73953.68341250022,489,3427,3916,0.6243135175063393,crude,77.80980718290317
122.0,-297949.97232943896,55309.012804548955,-353258.9851339879,564,3667,4231,0.6925991749395927,crude,78.46283374242617
123.0,-42923.77023239477,28703.051606435623,-71626.8218388304,286,875,1161,0.6844225609872558,crude,79.1159429531293
124.0,-98028.95314194227,26555.075103726464,-124584.02824566873,404,1163,1567,0.5982648878250519,crude,79.76913415337064
124.5,-13791.979872055294,850.0518809845629,-14642.031753039857,9,117,126,0.5330287615418434,crude,80.09576029570778
125.0,-1538119.206169726,634938.497528661,-2173057.7036983874,5700,18392,24092,0.6417096662220588,crude,80.4224066920985
125.5,-53043.48199469284,585.0665169809105,-53628.548511673755,5,401,406,0.5564165517389774,crude,80.7490732627746
126.0,-158896.74883763405,61488.9028080742,-220385.65164570822,465,3042,3507,0.6202680585370461,crude,81.07575992859859
126.5,-29363.07555062537,412.34931213143557,-29775.42486275681,4,210,214,0.5372002820074558,crude,81.4024666110562
127.0,-91965.14971137422,101413.02911316566,-193378.17882453988,685,2390,3075,0.617557849000295,crude,81.7291932322491
127.5,-14320.436566366092,1195.6182587473868,-15516.054825113479,10,103,113,0.5209494356036186,crude,82.0559397148876
128.0,-150076.3914352299,89501.33452839841,-239577.72596362827,794,2587,3381,0.6117293358617563,crude,82.38270598228355
128.5,-73908.87176791538,1181.0299979506378,-75089.90176586602,8,471,479,0.5297266095280648,crude,82.7094919583433
129.0,-66417.19623575211,135046.58912305848,-201463.78535881062,1000,3071,4071,0.5865914091229439,crude,83.0362975675609
129.5,-56024.78322657921,17173.31300672449,-73198.0962333037,105,493,598,0.6140849645713399,crude,83.36312273501107
130.0,-1583701.1708586589,1115355.7994114563,-2699056.970270115,7890,19073,26963,0.5747223232999215,crude,83.68996738634283
130.5,-10051.846282024186,2504.277470971876,-12556.123752996062,13,97,110,0.6912806776213646,crude,84.01683144777265
131.0,-164123.4142307523,82148.22665222645,-246271.64088297874,474,1397,1871,0.5842148318796891,crude,84.343714846078
131.5,-2861.6701497995796,1814.8743550971335,-4676.544504896713,9,41,50,0.8169796375620365,crude,84.67061750859114
132.0,-150975.9472549853,305563.53122385027,-456539.47847883555,1559,3092,4651,0.6071641397687105,crude,84.99753936319253
132.5,18695.12733821992,23151.775696133882,-4456.648357913962,109,41,150,0.7688011401367187,crude,85.32448033830491
133.0,-183254.7607451938,182957.45069996256,-366212.21144515637,1046,1921,2967,0.5483658727109433,crude,85.65144036288706
133.5,-17810.325830582973,64953.92554296858,-82764.25137355155,295,513,808,0.7630591850316524,crude,85.97841936642773
134.0,656023.4904391404,1023426.2091042469,-367402.7186651065,6552,1849,8401,0.5779489750359609,crude,86.30541727893987
134.5,-23071.87199759725,9077.160923986115,-32149.032921583366,39,178,217,0.7363993968093394,crude,86.63243403095464
135.0,-2671610.7290085265,1306020.6562439927,-3977631.3852525195,7331,17933,25264,0.5475377831525462,crude,86.95946955351579
136.0,-254450.52449140223,434159.5791777565,-688610.1036691588,1798,3020,4818,0.5594220049799405,crude,87.61359663698077
137.0,-443745.3490901297,157618.89395331446,-601364.2430434441,629,2442,3071,0.5643573181541149,crude,88.2677979877219
138.0,-1222266.1166043575,267647.26386197365,-1489913.3804663313,996,5410,6406,0.5552455897912613,crude,88.92207307197262
139.0,-1029880.323360013,283480.06565748673,-1313360.3890174998,975,4665,5640,0.5430697183609009,crude,89.57642136364304
139.5,-15817.8043384623,0.0,-15817.8043384623,0,57,57,0.5044324778914452,crude,89.90362279991595
140.0,-7044418.054326844,4076882.2336674146,-11121300.287994258,13202,35471,48673,0.564847722058126,crude,90.23084234415506
140.5,-13637.624631392644,293.2405124981148,-13930.865143890758,1,50,51,0.5042843899726869,crude,90.55807993268554
141.0,250923.17654570471,658808.1012411133,-407884.92469540855,1905,1197,3102,0.5580331075145648,crude,90.88533550228229
141.5,-19993.848390569157,0.0,-19993.848390569157,0,69,69,0.5143922098279,crude,91.2126089901652
142.0,-591501.3355471193,522699.91681529774,-1114201.252362417,1487,3026,4513,0.541646300311272,crude,91.53990033399437
142.5,-15512.72362000522,1756.384686265317,-17269.108306270537,6,58,64,0.5185896233320237,crude,91.86720947186556
143.0,-648993.5619306758,322604.42753941537,-971597.9894700912,827,2456,3283,0.546943405852868,crude,92.19453634230564
143.5,-1758.7970152377386,0.0,-1758.7970152377386,0,5,5,0.5225242329239846,crude,92.52188088426801
144.0,-1757926.7796924247,439989.0025599904,-2197915.782252415,1117,4615,5732,0.5648490940653361,crude,92.84924303712825
