strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
22.0,839.6839691099871,839.6839691099871,0.0,83,0,83,0.7108157868981361,copper,3.903997370215382
23.0,7765.032050198119,7765.032050198119,0.0,610,0,610,0.84720684581995,copper,4.0625945869236135
24.0,2959.9832718185753,3194.121728552688,-234.138456734113,225,32,257,0.6175648482978344,copper,4.220474823348865
25.0,4290.989791354737,5194.169278630946,-903.1794872762093,352,65,417,0.7922495276010038,copper,4.377671013874265
26.0,-1647.7904942195503,1258.0715981613182,-2905.8620923808685,72,189,261,0.650463042548895,copper,4.534213324391326
27.0,-5514.058015998022,774.9445921082084,-6289.002608106231,40,320,360,0.7516817758043608,copper,4.690129482509754
28.0,-36859.14231323185,1797.143388581796,-38656.28570181365,80,2932,3012,1.0329320762900511,copper,4.845445057609793
29.0,2793.0230432012613,3095.413068787194,-302.3900255859328,127,12,139,0.6204308554760615,copper,5.000183699875835
30.0,18937.95038403871,27844.616379329345,-8906.665995290634,987,349,1336,0.6784976745319368,copper,5.1543673455269605
31.0,18571.40452306283,22077.22242227576,-3505.8178992129315,695,110,805,0.5134336266249417,copper,5.308016393992427
32.0,-5005.05827592773,7221.061557461871,-12226.119833389603,192,331,523,0.44429756697595124,copper,5.461149861648689
33.0,113416.55737879625,139577.71758180964,-26161.1602030134,2974,558,3532,0.5316415913162231,copper,5.613785515854257
34.0,7740.794541335629,14746.64454210375,-7005.8500007681205,271,121,392,0.3964120705041886,copper,5.76593999232791
35.0,77930.8258863763,92850.41035033664,-14919.584463960335,1366,203,1569,0.44341069676995276,copper,5.917628898369209
36.0,5651.35157558108,162059.28412028466,-156407.93254470354,2048,1883,3931,0.35954668253064154,copper,6.068866903984695
37.0,47855.40448874769,89518.70022593674,-41663.29573718906,936,334,1270,0.3089117442222436,copper,6.219667822633402
38.0,260346.97093528885,474693.10423896206,-214346.13330367315,2175,903,3078,0.2617771636247635,copper,6.3700446830228
39.0,-3904.0927751790296,307591.0964191055,-311495.18919428455,2236,1407,3643,0.25419865761200583,copper,6.520009793156472
40.0,692110.5011229054,1062698.8866211842,-370588.3854982786,7147,1693,8840,0.2872165028651555,copper,6.669574797646956
41.0,137063.72831959958,211748.5492508306,-74684.82093123104,1324,676,2000,0.29305253940860426,copper,6.8187507291525415
42.0,383018.1440448741,416670.7046576438,-33652.56061276966,3322,286,3608,0.3045055595775445,copper,6.9675480546690975
43.0,473517.2974142097,476544.95909707434,-3027.6616828646956,4947,39,4986,0.3439316743297577,copper,7.115976717301756
44.0,99266.13518330305,99656.37168817116,-390.23650486810476,1447,5,1452,0.4378815854549408,copper,7.264046174052657
45.0,390705.97952497855,401808.19821740605,-11102.218692427467,6468,147,6615,0.4128684323223432,copper,7.411765430086611
46.0,2916.8224281894463,3115.6876091261984,-198.86518093675204,47,3,50,0.5009418910137812,copper,7.559143069873895
47.0,8018.082422715766,8018.082422715766,0.0,140,0,140,0.6562682181918621,copper,7.706187285556502
48.0,867.0639836955733,1058.5409037147165,-191.4769200191431,21,4,25,0.8365032074793181,copper,7.852905902839151
49.0,783.4959892599543,783.4959892599543,0.0,16,0,16,0.33655560332536705,copper,7.999306404668116
50.0,463659.0780288311,464783.6119995319,-1124.5339707008482,10619,25,10644,0.6333540824251175,copper,8.145395952928165
55.0,139867.55016140387,139867.55016140387,0.0,5023,0,5023,0.5652362027227877,copper,8.87140996287899
