strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
15.0,1172.3524267770736,1172.3524267770736,0.0,154,0,154,1.8528659375,wheat,385.41698844575654
16.0,241.26069371106735,241.26069371106735,0.0,345,0,345,1.399213067010641,wheat,414.5583844865565
17.0,921.8966101726269,1268.7634081657325,-346.86679799310576,121,36,157,1.245120664550781,wheat,443.93651023199953
18.0,-313.2990387431462,1187.5380258066116,-1500.837064549758,157,143,300,0.6789269268399477,wheat,473.53918113311835
19.0,204.69113288513518,2676.273856501776,-2471.5827236166415,187,170,357,0.8972194946289062,wheat,503.35548560631725
20.0,23018.55020071058,25823.971332663612,-2805.4211319530323,2110,164,2274,0.5872007782883644,wheat,533.375591646605
21.0,33666.17747103418,46156.93844160613,-12490.760970571953,2447,856,3303,0.5482055112257004,wheat,563.5905910799826
22.0,16920.058286339485,89552.20191774743,-72632.14363140795,4148,3207,7355,0.439775852039655,wheat,593.9923726743481
23.0,218246.74386402054,252000.76392058705,-33754.020056566485,7778,971,8749,0.38891877926230434,wheat,624.5735176852578
24.0,244424.8826145232,288492.24982073513,-44067.367206211944,6521,959,7480,0.34795540773471195,wheat,655.327213061531
25.0,1414910.4688216888,1547793.4203356444,-132882.95151395554,26620,2444,29064,0.2977486229141553,wheat,686.2471787097376
26.0,536483.3594275234,576492.846045371,-40009.486617847586,6825,441,7266,0.28986857771873475,wheat,717.3276060662974
27.0,662222.0031780751,663777.2976576854,-1555.2944796101626,6867,21,6888,0.31030222747723263,wheat,748.5631058499775
28.0,286297.59593916463,290504.90769191075,-4207.311752746164,3547,35,3582,0.3189917206406593,wheat,779.9486633320855
29.0,61826.81117840446,65009.19719881829,-3182.3860204138387,942,50,992,0.4076911398172378,wheat,811.479599811688
30.0,2468865.638932468,2469406.339515182,-540.7005827144835,43921,16,43937,0.6046414569735528,wheat,843.1515392499554
31.0,96366.35727520158,96366.35727520158,0.0,1858,0,1858,0.35503292328119274,wheat,874.9603792231362
32.0,6124.375859298008,6154.671885733187,-30.296026435178987,138,1,139,0.4910475298786163,wheat,906.9022655134168
33.0,618.2174602153743,618.2174602153743,0.0,16,0,16,0.2893134714961051,wheat,938.9735697822075
34.0,5085.349326079093,5085.349326079093,0.0,151,0,151,0.3302292397618294,wheat,971.1708698695404
35.0,1176644.0803058953,1176644.0803058953,0.0,39669,0,39669,0.3458788849711417,wheat,1003.4909323422943
