strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
22.0,811.0095493192377,811.0095493192377,0.0,83,0,83,0.6675115422606467,copper,3.903768429532354
23.0,7716.150958384398,7716.150958384398,0.0,610,0,610,0.8066200293898582,copper,4.062543633723597
24.0,2508.613446939439,2726.8755711058534,-218.2621241664144,225,30,255,0.5012032140362264,copper,4.220608182852586
25.0,-856.5434151651264,42.3887008546672,-898.9321160197936,3,65,68,0.7802745426472028,copper,4.377994690797374
26.0,-2014.0239295159697,1257.1111475878981,-3271.135077103868,72,189,261,0.6765963523447515,copper,4.5347330311803615
27.0,-5477.676486890338,775.0160808925825,-6252.69256778292,40,320,360,0.7026031627122561,copper,4.6908506641076855
28.0,-38887.49288948286,1717.3775430322382,-40604.870432515105,80,2932,3012,0.7800329984207948,copper,4.846372913289865
29.0,2798.0184149393067,3098.439086113991,-300.4206711746842,127,12,139,0.5809087498188018,copper,5.001323202582589
30.0,14386.766493060975,24413.191641909205,-10026.425148848233,987,349,1336,0.582400890519619,copper,5.155723259084822
31.0,18434.04501576067,22118.211648410805,-3684.1666326501363,695,110,805,0.5076732254588605,copper,5.309593288479866
32.0,-4350.670076659147,7461.504007956681,-11812.174084615828,192,328,520,0.3749434473270178,copper,5.462952127186116
33.0,113766.0105428784,139630.61089493957,-25864.60035206116,3004,559,3563,0.4435887517633438,copper,5.615817375013533
34.0,7848.488234663584,14837.398732446503,-6988.910497782919,275,123,398,0.4167877707233429,copper,5.768205511338675
35.0,73568.86373129372,88308.28034039453,-14739.416609100812,1328,201,1529,0.3611072746622563,copper,5.920131997270484
36.0,-3492.7463199705962,149432.4598417994,-152925.20616176998,1988,1898,3886,0.2937253194848696,copper,6.071611365848154
37.0,51262.53960505093,88842.96032116222,-37580.42071611129,986,322,1308,0.270922163705031,copper,6.222657301966557
38.0,191219.63983696245,354252.3362837046,-163032.69644674216,2143,781,2924,0.26445297624667485,copper,6.373282713445059
39.0,27498.789869977598,248365.08204856844,-220866.2921785908,2227,1257,3484,0.24782601036628082,copper,6.523499794428418
40.0,740145.0632730095,1036471.6495138954,-296326.58624088584,7122,1455,8577,0.2501455578207969,copper,6.673320082122417
41.0,70678.45525519068,142994.30714746687,-72315.85189227617,911,643,1554,0.2587331672906875,copper,6.822754507714052
42.0,410759.5501390414,415244.7959555143,-4485.245816472849,3222,44,3266,0.2648168891469637,copper,6.971813442199623
43.0,428995.85039940116,432650.7146483384,-3654.8642489372123,4410,39,4449,0.3128197543210983,copper,7.120506737739056
44.0,99500.75188829862,99500.75188829862,0.0,1280,0,1280,0.32876127924760185,copper,7.268843765067036
45.0,379492.6329292038,394474.6918589921,-14982.058929788305,5759,212,5971,0.332991134150823,copper,7.416833447417985
46.0,1914.6271879168914,1914.6271879168914,0.0,29,0,29,0.4163243918812275,copper,7.564484291359989
47.0,8168.51802750943,8168.51802750943,0.0,140,0,140,0.5001520582211018,copper,7.711804414880366
48.0,993.3315457834956,1110.102447365693,-116.77090158219728,23,4,27,0.4826919049739839,copper,7.858801573021088
49.0,787.116333357756,787.116333357756,0.0,16,0,16,0.3148251165747642,copper,8.00548318132438
50.0,485903.9994180205,486891.9998769627,-988.0004589421585,10889,24,10913,0.47230877474594113,copper,8.151856337316417
55.0,134307.2943776719,134307.2943776719,0.0,5010,0,5010,0.5116961270940305,copper,8.87932384211054
