strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
16.0,1173.4800133118742,1225.8105733618934,-52.330560050019166,345,6,351,1.5512417895611126,wheat,420.06483025716494
17.0,551.292697128724,883.7571241582011,-332.46442702947724,107,37,144,1.0915343761372567,wheat,449.13439893881076
18.0,-441.72664447250315,1246.6484781251488,-1688.375122597652,154,155,309,0.7225726358902456,wheat,478.38198045634437
19.0,1230.6906993345729,2140.6498802082,-909.9591808736274,178,68,246,0.9270049145507813,wheat,507.79867599165766
20.0,28424.18313279757,30883.20741163051,-2459.0242788329388,1995,151,2146,0.5869181933593751,wheat,537.3764786250283
21.0,28454.123814384086,40977.088373444574,-12522.96455906049,2338,856,3194,0.7114590984454155,wheat,567.1081435990802
22.0,10860.659074714527,71320.2130282161,-60459.55395350156,3805,3206,7011,0.5153690076621374,wheat,596.987082765628
23.0,172301.32878993155,199242.28858305534,-26940.959793123817,6992,911,7903,0.49329304011901215,wheat,627.0072778074266
24.0,163480.50972021802,199447.24574478928,-35966.736024571255,5507,996,6503,0.36807971028765035,wheat,657.1632082200789
25.0,902916.61619937,1037269.6972115759,-134353.0810122058,21355,2782,24137,0.29322045161922766,wheat,687.4497910302264
26.0,318357.2959198008,469672.8829941833,-151315.58707438246,6643,1757,8400,0.31357537443518635,wheat,717.8623299424096
27.0,592707.2747559227,688765.7281346373,-96058.45337871459,6901,746,7647,0.31297764281431834,wheat,748.3964721324206
28.0,525921.3077826008,578590.8370024993,-52669.529219898526,5977,505,6482,0.3199828668236732,wheat,779.0481712956464
29.0,241801.94622278307,251248.77400254642,-9446.827779763358,2653,73,2726,0.3136082331538201,wheat,809.8136558529868
30.0,2545546.6571783302,2549048.8278431045,-3502.170664774514,42032,60,42092,0.38741382163763044,wheat,840.6894014408118
31.0,270946.7506392051,271012.95003638626,-66.19939718115751,4744,1,4745,0.3800132322782278,wheat,871.6721069836728
32.0,19858.471824197328,19886.96416534997,-28.492341152644055,415,1,416,0.4907025161536535,wheat,902.758673782273
33.0,77470.9629290186,77470.9629290186,0.0,1682,0,1682,0.2978745622038841,wheat,933.9461871540818
34.0,10830.330029154631,10830.330029154631,0.0,275,0,275,0.3456214444041251,wheat,965.2319002468628
35.0,1385819.1887669447,1385819.1887669447,0.0,39494,0,39494,0.3501367850899696,wheat,996.6132197114155
